iter	Passed	Remaining
312	6000	13170
313	6016	13145
314	6033	13121
315	6050	13096
316	6069	13076
317	6087	13054
318	6104	13030
319	6128	13022
320	6153	13016
321	6170	12992
322	6189	12972
323	6205	12947
324	6225	12929
325	6241	12903
326	6257	12879
327	6274	12855
328	6291	12831
329	6329	12851
330	6361	12857
331	6383	12842
332	6402	12823
333	6418	12798
334	6434	12773
335	6450	12748
336	6468	12726
337	6485	12702
338	6503	12680
339	6519	12656
340	6536	12632
341	6553	12609
342	6570	12585
343	6586	12560
344	6603	12536
345	6620	12513
346	6636	12488
347	6654	12466
348	6669	12440
349	6687	12419
350	6704	12396
351	6724	12379
352	6741	12356
353	6759	12334
354	6776	12312
355	6793	12288
356	6809	12265
357	6826	12241
358	6843	12218
359	6859	12194
360	6875	12170
361	6891	12146
362	6908	12122
363	6925	12100
364	6941	12076
365	6960	12056
366	6977	12035
367	6995	12014
368	7011	11990
369	7028	11966
370	7043	11941
371	7084	11959
372	7115	11960
373	7133	11940
374	7150	11917
375	7169	11898
376	7190	11883
377	7207	11860
378	7224	11837
379	7241	11815
380	7258	11792
381	7274	11768
382	7290	11745
383	7307	11722
384	7324	11700
385	7341	11678
386	7362	11661
387	7381	11643
388	7398	11620
389	7415	11597
390	7433	11578
391	7453	11561
392	7478	11550
393	7497	11531
394	7514	11508
395	7530	11485
396	7546	11462
397	7562	11439
398	7579	11416
399	7593	11390
400	7611	11369
401	7629	11349
402	7646	11328
403	7665	11308
404	7685	11290
405	7701	11268
406	7718	11246
407	7736	11224
408	7752	11202
409	7769	11181
410	7786	11158
411	7803	11137
412	7818	11113
413	7835	11091
414	7852	11069
415	7869	11048
416	7886	11026
417	7915	11020
418	7945	11017
419	7963	10996
420	7980	10975
421	7997	10953
422	8012	10929
423	8029	10908
424	8046	10886
425	8062	10864
426	8080	10842
427	8096	10819
428	8113	10798
429	8130	10777
430	8149	10758
431	8168	10740
432	8185	10718
433	8202	10696
434	8219	10675
435	8236	10654
436	8253	10633
437	8269	10610
438	8285	10588
439	8302	10567
440	8319	10545
441	8337	10525
442	8361	10513
443	8377	10490
444	8392	10467
445	8408	10444
446	8425	10423
447	8442	10402
448	8460	10382
449	8477	10361
450	8494	10340
451	8534	10347
452	8577	10357
453	8594	10336
454	8612	10316
455	8629	10294
456	8644	10271
457	8663	10252
458	8683	10234
459	8699	10212
460	8716	10190
461	8733	10169
462	8749	10148
463	8766	10127
464	8783	10106
465	8800	10084
466	8817	10063
467	8834	10042
468	8851	10021
469	8868	10000
470	8885	9979
471	8903	9960
472	8921	9940
473	8940	9921
474	8956	9899
475	8973	9878
476	8990	9857
477	9007	9836
478	9024	9815
479	9041	9794
480	9062	9778
481	9098	9778
482	9133	9776
483	9153	9758
484	9173	9740
485	9191	9720
486	9207	9698
487	9223	9677
488	9241	9656
489	9257	9635
490	9274	9614
491	9290	9592
492	9306	9570
493	9324	9551
494	9344	9532
495	9361	9512
496	9377	9490
497	9393	9469
498	9411	9449
499	9428	9428
500	9446	9408
501	9462	9387
502	9478	9365
503	9495	9344
504	9511	9323
505	9527	9301
506	9544	9280
507	9561	9259
508	9579	9240
509	9596	9219
510	9613	9199
511	9629	9177
512	9648	9159
513	9667	9140
514	9686	9121
515	9703	9102
516	9722	9083
517	9739	9062
518	9756	9041
519	9772	9020
520	9788	8999
521	9804	8977
522	9821	8957
523	9837	8935
524	9853	8915
525	9870	8894
526	9886	8873
527	9908	8857
528	9924	8836
529	9940	8815
530	9957	8794
531	9973	8773
532	9989	8752
533	10006	8732
534	10023	8711
535	10040	8691
536	10056	8670
537	10073	8650
538	10090	8630
539	10107	8609
540	10125	8591
541	10142	8570
542	10161	8552
543	10178	8532
544	10195	8511
545	10212	8491
546	10229	8471
547	10246	8451
548	10263	8431
549	10279	8410
550	10296	8390
551	10319	8375
552	10336	8355
553	10353	8335
554	10371	8315
555	10388	8296
556	10405	8276
557	10423	8256
558	10441	8237
559	10458	8217
560	10475	8197
561	10491	8176
562	10512	8159
563	10529	8139
564	10548	8121
565	10564	8101
566	10581	8081
567	10598	8061
568	10618	8042
569	10636	8023
570	10653	8003
571	10670	7984
572	10687	7963
573	10703	7943
574	10719	7922
575	10735	7902
576	10752	7882
577	10767	7861
578	10784	7841
579	10801	7821
580	10817	7801
581	10833	7781
582	10849	7760
583	10865	7740
584	10884	7721
585	10901	7701
586	10918	7681
587	10935	7661
588	10951	7641
589	10969	7622
590	10984	7602
591	11023	7597
592	11062	7592
593	11115	7597
594	11168	7601
595	11236	7616
596	11271	7608
597	11314	7606
598	11334	7588
599	11351	7567
600	11368	7547
601	11385	7527
602	11402	7506
603	11418	7486
604	11435	7466
605	11459	7450
606	11487	7437
607	11504	7417
608	11523	7398
609	11539	7378
610	11556	7357
611	11576	7339
612	11594	7319
613	11611	7299
614	11631	7281
615	11677	7279
616	11696	7260
617	11712	7240
618	11729	7219
619	11746	7199
620	11764	7179
621	11780	7159
622	11800	7140
623	11819	7121
624	11836	7101
625	11853	7081
626	11869	7061
627	11885	7040
628	11902	7020
629	11919	7000
630	11936	6980
631	11953	6960
632	11970	6940
633	11987	6920
634	12004	6899
635	12020	6879
636	12036	6859
637	12053	6839
638	12071	6819
639	12088	6799
640	12105	6779
641	12122	6759
642	12139	6739
643	12156	6719
644	12172	6699
645	12188	6679
646	12205	6659
647	12221	6638
648	12236	6617
649	12253	6598
650	12270	6578
651	12291	6560
652	12312	6542
653	12328	6522
654	12344	6502
655	12361	6482
656	12378	6462
657	12395	6442
658	12412	6422
659	12429	6403
660	12448	6384
661	12469	6366
662	12487	6347
663	12502	6326
664	12519	6306
665	12536	6287
666	12554	6267
667	12571	6248
668	12587	6228
669	12603	6207
670	12620	6187
671	12637	6168
672	12653	6148
673	12667	6126
674	12683	6107
675	12700	6087
676	12717	6067
677	12733	6047
678	12750	6027
679	12766	6007
680	12785	5989
681	12825	5980
682	12849	5963
683	12865	5943
684	12882	5924
685	12899	5904
686	12916	5884
687	12932	5864
688	12950	5845
689	12966	5825
690	12983	5806
691	12999	5785
692	13015	5766
693	13033	5746
694	13052	5727
695	13067	5707
696	13084	5687
697	13101	5668
698	13118	5648
699	13135	5629
700	13151	5609
701	13168	5589
702	13194	5574
703	13216	5557
704	13239	5539
705	13267	5525
706	13292	5508
707	13313	5490
708	13330	5471
709	13347	5451
710	13365	5432
711	13381	5412
712	13397	5392
713	13413	5373
714	13433	5354
715	13462	5339
716	13490	5324
717	13529	5313
718	13547	5294
719	13564	5274
720	13580	5255
721	13598	5236
722	13615	5216
723	13631	5196
724	13648	5177
725	13665	5157
726	13682	5138
727	13699	5118
728	13716	5098
729	13730	5078
730	13749	5059
731	13768	5040
732	13786	5021
733	13806	5003
734	13822	4983
735	13838	4963
736	13854	4944
737	13871	4924
738	13887	4904
739	13904	4885
740	13920	4865
741	13937	4846
742	13954	4826
743	13971	4807
744	13988	4788
745	14005	4768
746	14022	4749
747	14039	4729
748	14055	4710
749	14071	4690
750	14087	4670
751	14103	4651
752	14120	4631
753	14137	4612
754	14154	4593
755	14171	4573
756	14188	4554
757	14205	4535
758	14221	4515
759	14239	4496
760	14258	4477
761	14281	4460
762	14299	4441
763	14316	4422
764	14332	4402
765	14349	4383
766	14364	4363
767	14381	4344
768	14398	4325
769	14415	4305
770	14433	4286
771	14450	4267
772	14467	4248
773	14484	4229
774	14501	4210
775	14520	4191
776	14537	4172
777	14554	4153
778	14571	4133
779	14588	4114
780	14605	4095
781	14622	4076
782	14639	4057
783	14655	4037
784	14672	4018
785	14689	3999
786	14705	3980
787	14720	3960
788	14738	3941
789	14757	3922
790	14779	3905
791	14796	3885
792	14813	3866
793	14830	3847
794	14847	3828
795	14863	3809
796	14880	3790
797	14896	3770
798	14913	3751
799	14930	3732
800	14947	3713
801	14964	3694
802	14980	3675
803	14998	3656
804	15015	3637
805	15032	3618
806	15049	3599
807	15065	3579
808	15082	3560
809	15099	3541
810	15116	3522
811	15133	3503
812	15150	3484
813	15168	3465
814	15184	3446
815	15205	3428
816	15238	3413
817	15273	3398
818	15320	3385
819	15337	3366
820	15354	3347
821	15371	3328
822	15388	3309
823	15407	3290
824	15424	3271
825	15439	3252
826	15456	3233
827	15473	3214
828	15489	3195
829	15507	3176
830	15523	3157
831	15540	3138
832	15557	3119
833	15574	3099
834	15591	3080
835	15606	3061
836	15623	3042
837	15640	3023
838	15657	3004
839	15674	2985
840	15692	2966
841	15709	2947
842	15725	2928
843	15744	2910
844	15765	2891
845	15781	2872
846	15798	2853
847	15814	2834
848	15831	2815
849	15848	2796
850	15865	2777
851	15881	2758
852	15897	2739
853	15914	2720
854	15930	2701
855	15945	2682
856	15962	2663
857	15979	2644
858	15996	2625
859	16015	2607
860	16032	2588
861	16047	2569
862	16063	2550
863	16079	2531
864	16095	2512
865	16112	2493
866	16129	2474
867	16146	2455
868	16163	2436
869	16180	2417
870	16198	2399
871	16215	2380
872	16232	2361
873	16254	2343
874	16278	2325
875	16295	2306
876	16312	2287
877	16329	2269
878	16346	2250
879	16363	2231
880	16380	2212
881	16398	2193
882	16414	2174
883	16431	2156
884	16448	2137
885	16464	2118
886	16479	2099
887	16496	2080
888	16514	2062
889	16531	2043
890	16564	2026
891	16588	2008
892	16614	1990
893	16634	1972
894	16651	1953
895	16667	1934
896	16684	1915
897	16702	1897
898	16719	1878
899	16738	1859
900	16759	1841
901	16785	1823
902	16816	1806
903	16833	1787
904	16850	1768
905	16867	1750
906	16887	1731
907	16905	1712
908	16921	1694
909	16939	1675
910	16955	1656
911	16998	1640
912	17024	1622
913	17040	1603
914	17057	1584
915	17071	1565
916	17088	1546
917	17103	1527
918	17120	1509
919	17137	1490
920	17154	1471
921	17170	1452
922	17186	1433
923	17203	1415
924	17219	1396
925	17238	1377
926	17264	1359
927	17299	1342
928	17336	1324
929	17353	1306
930	17371	1287
931	17387	1268
932	17404	1249
933	17421	1231
934	17439	1212
935	17456	1193
936	17473	1174
937	17490	1156
938	17509	1137
939	17526	1118
940	17543	1099
941	17560	1081
942	17576	1062
943	17594	1043
944	17611	1025
945	17628	1006
946	17645	987
947	17662	968
948	17678	950
949	17695	931
950	17721	913
951	17764	895
952	17781	876
953	17798	858
954	17815	839
955	17832	820
956	17849	801
957	17866	783
958	17882	764
959	17899	745
960	17916	727
961	17933	708
962	17950	689
963	17967	670
964	17984	652
965	18003	633
966	18021	614
967	18038	596
968	18054	577
969	18070	558
970	18086	540
971	18103	521
972	18119	502
973	18135	484
974	18152	465
975	18170	446
976	18185	428
977	18201	409
978	18220	390
979	18244	372
980	18265	353
981	18280	335
982	18297	316
983	18313	297
984	18331	279
985	18349	260
986	18366	241
987	18383	223
988	18417	204
989	18458	186
990	18487	167
991	18504	149
992	18520	130
993	18537	111
994	18554	93
995	18571	74
996	18587	55
997	18603	37
998	18622	18
999	18639	0
